mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ
0	STORE_MAPPINGS	n/a	LTP500	NiclsCourierReadOnly	2	1	0	n/a	n/a	n/a	n/a	n/a
50706	TRIAL_START	n/a	LTP500	NiclsCourierReadOnly	2	1	0	n/a	n/a	n/a	n/a	n/a
65367	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	BUNNY	n/a	pet_store	14.6015625	-58.8125
79800	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	KARAOKE_MACHINE	n/a	toy_store	26.5	17.0
93416	POINTER_ON	n/a	LTP500	NiclsCourierReadOnly	2	1	0	n/a	n/a	n/a	n/a	n/a
96601	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	GRAPES	n/a	grocery_store	32.1875	-60.90625
106633	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	LILIES	n/a	florist	59.3125	-9.203125
117683	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	SUGAR	n/a	bakery	-9.1015625	17.90625
131316	POINTER_ON	n/a	LTP500	NiclsCourierReadOnly	2	1	0	n/a	n/a	n/a	n/a	n/a
136150	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	FLUTE	n/a	music_store	36.6875	59.09375
149783	POINTER_ON	n/a	LTP500	NiclsCourierReadOnly	2	1	0	n/a	n/a	n/a	n/a	n/a
151616	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	MILK	n/a	cafe	62.3125	-33.5
162583	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	DUMBELLS	n/a	gym	-3.099609375	-58.5
173916	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	SANDALS	n/a	clothing_store	-60.0	-11.5
184300	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	OLIVES	n/a	pizzeria	-39.0	-61.90625
197917	POINTER_ON	n/a	LTP500	NiclsCourierReadOnly	2	1	0	n/a	n/a	n/a	n/a	n/a
203267	WORD	wordpools/all_items.txt	LTP500	NiclsCourierReadOnly	2	1	0	GLUE	n/a	craft_shop	58.3125	27.90625
