onset	duration	trial_type	sample	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ
2.64990234375	n/a	STORE_MAPPINGS	5427	n/a	LTP498	NiclsCourierReadOnly	4	1	0	n/a	n/a	n/a	n/a	n/a
25.18212890625	n/a	TRIAL_START	51573	n/a	LTP498	NiclsCourierReadOnly	4	1	0	n/a	n/a	n/a	n/a	n/a
38.09228515625	n/a	WORD	78013	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	DOUGHNUT	n/a	bakery	59.3125	-9.203125
45.2919921875	n/a	WORD	92758	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	FLUORIDE	n/a	dentist	26.5	17.0
55.59130859375	n/a	WORD	113851	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	HELMET	n/a	bike_shop	-3.099609375	-58.5
69.22314453125	n/a	POINTER_ON	141769	n/a	LTP498	NiclsCourierReadOnly	4	1	0	n/a	n/a	n/a	n/a	n/a
72.556640625	n/a	WORD	148596	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	SOIL	n/a	florist	58.3125	27.90625
86.171875	n/a	POINTER_ON	176480	n/a	LTP498	NiclsCourierReadOnly	4	1	0	n/a	n/a	n/a	n/a	n/a
87.9228515625	n/a	WORD	180066	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	HARMONICA	n/a	music_store	14.5	-33.6875
95.33837890625	n/a	WORD	195253	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	PARROT	n/a	pet_store	-29.59375	-37.1875
108.953125	n/a	POINTER_ON	223136	n/a	LTP498	NiclsCourierReadOnly	4	1	0	n/a	n/a	n/a	n/a	n/a
112.037109375	n/a	WORD	229452	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	LEVEL	n/a	hardware_store	-14.296875	-12.8984375
124.751953125	n/a	WORD	255492	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	RAZOR	n/a	barber_shop	32.1875	-60.90625
138.3681640625	n/a	POINTER_ON	283378	n/a	LTP498	NiclsCourierReadOnly	4	1	0	n/a	n/a	n/a	n/a	n/a
139.53515625	n/a	WORD	285768	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	VIDEO_GAMES	n/a	toy_store	36.6875	59.09375
153.1669921875	n/a	POINTER_ON	313686	n/a	LTP498	NiclsCourierReadOnly	4	1	0	n/a	n/a	n/a	n/a	n/a
157.966796875	n/a	WORD	323516	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	CHALK	n/a	gym	-60.0	-11.5
172.4658203125	n/a	WORD	353210	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	4	1	0	EARRINGS	n/a	jewelry_store	-31.796875	55.6875
