mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ
0	STORE_MAPPINGS	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
29307	TRIAL_START	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
41601	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	SUIT	n/a	clothing_store	35.40625	-33.09375
56051	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	MUSHROOMS	n/a	pizzeria	-39.0	-61.90625
69667	POINTER_ON	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
76900	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	EMBROIDERY	n/a	craft_shop	35.09375	26.703125
86000	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	BREAD	n/a	bakery	59.3125	-9.203125
99617	POINTER_ON	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
103368	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	AMETHYST	n/a	jewelry_store	-31.796875	55.6875
117000	POINTER_ON	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
119783	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	SAXOPHONE	n/a	music_store	14.5	-33.6875
133400	POINTER_ON	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
135367	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	HAMSTER	n/a	pet_store	-29.59375	-37.1875
149050	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	ASPARAGUS	n/a	grocery_store	-9.1015625	17.90625
162683	POINTER_ON	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
163933	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	OINTMENT	n/a	pharmacy	62.3125	-33.5
177517	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	SPACKLE	n/a	hardware_store	-14.296875	-12.8984375
191133	POINTER_ON	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
194067	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	HULA_HOOP	n/a	toy_store	36.6875	59.09375
201234	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	DAISIES	n/a	florist	58.3125	27.90625
214867	POINTER_ON	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
223433	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	MEDICINE_BALL	n/a	gym	-60.0	-11.5
237050	POINTER_ON	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
240384	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	CURLING_IRON	n/a	barber_shop	32.1875	-60.90625
249800	WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	HELMET	n/a	bike_shop	-3.099609375	-58.5
260684	TRIAL_END	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
271700	REC_START	n/a	LTP498	NiclsCourierReadOnly	7	1	0	n/a	n/a	n/a	n/a	n/a
272501	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	CURLING_IRON	63	barber_shop	32.1875	-60.90625
273531	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	DAISIES	65	florist	58.3125	27.90625
274141	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	HULA_HOOP	113	toy_store	36.6875	59.09375
274854	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	MEDICINE_BALL	129	gym	-60.0	-11.5
276233	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	HELMET	111	bike_shop	-3.099609375	-58.5
276872	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	SAXOPHONE	183	music_store	14.5	-33.6875
277751	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	HAMSTER	105	pet_store	-29.59375	-37.1875
278583	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	SPACKLE	198	hardware_store	-14.296875	-12.8984375
279421	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	ASPARAGUS	9	grocery_store	-9.1015625	17.90625
282508	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	CURLING_IRON	63	barber_shop	32.1875	-60.90625
283700	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	BREAD	29	bakery	59.3125	-9.203125
284642	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	MUSHROOMS	137	pizzeria	-39.0	-61.90625
286398	REC_WORD	wordpools/all_items.txt	LTP498	NiclsCourierReadOnly	7	1	0	SUIT	207	clothing_store	35.40625	-33.09375
