mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ	presX	presZ	classifier
0	STORE_MAPPINGS	n/a	LTP486	NiclsCourierClosedLoop	0	1	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	X
29440	TRIAL_START	n/a	LTP486	NiclsCourierClosedLoop	0	1	0	n/a	n/a	n/a	n/a	n/a	-6.556510925292969e-06	-0.0	X
46012	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	HAMMER	n/a	hardware_store	36.6875	59.09375	37.25	48.375	X
59600	POINTER_ON	n/a	LTP486	NiclsCourierClosedLoop	0	1	0	n/a	n/a	n/a	n/a	n/a	47.96875	-39.3125	X
62434	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	SUIT	n/a	clothing_store	32.1875	-60.90625	33.15625	-49.03125	X
72301	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	ASPARAGUS	n/a	grocery_store	59.3125	-9.203125	49.75	-9.59375	X
84518	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	SPINACH	n/a	pizzeria	-9.1015625	17.90625	-9.75	1.390625	X
98151	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	MOUTHWASH	n/a	dentist	35.09375	26.703125	46.46875	31.609375	X
110568	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	PUPPETS	n/a	toy_store	62.3125	-33.5	50.3125	-32.75	X
124417	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	CHOCOLATE	n/a	cafe	-14.296875	-12.8984375	-0.83642578125	-9.078125	X
138018	POINTER_ON	n/a	LTP486	NiclsCourierClosedLoop	0	1	0	n/a	n/a	n/a	n/a	n/a	-17.6875	-48.59375	X
145484	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	TURTLE	n/a	pet_store	-60.0	-11.5	-48.90625	-11.9609375	X
159768	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	MEDICINE_BALL	n/a	gym	14.5	-33.6875	1.142578125	-33.84375	X
172985	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	HELMET	n/a	bike_shop	-29.59375	-37.1875	-28.6875	-46.40625	X
186601	POINTER_ON	n/a	LTP486	NiclsCourierClosedLoop	0	1	0	n/a	n/a	n/a	n/a	n/a	44.84375	-45.125	X
189167	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	SHAMPOO	n/a	barber_shop	35.40625	-33.09375	46.5625	-29.90625	X
201785	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	SPEAKERS	n/a	music_store	14.6015625	-58.8125	11.515625	-49.25	X
215401	POINTER_ON	n/a	LTP486	NiclsCourierClosedLoop	0	1	0	n/a	n/a	n/a	n/a	n/a	47.375	-10.4375	X
220884	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	VITAMINS	n/a	pharmacy	58.3125	27.90625	49.15625	26.296875	X
234501	POINTER_ON	n/a	LTP486	NiclsCourierClosedLoop	0	1	0	n/a	n/a	n/a	n/a	n/a	10.71875	47.65625	X
239651	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	SAPPHIRE	n/a	jewelry_store	-31.796875	55.6875	-29.515625	49.25	X
253267	POINTER_ON	n/a	LTP486	NiclsCourierClosedLoop	0	1	0	n/a	n/a	n/a	n/a	n/a	-0.461181640625	-27.28125	X
260868	WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	YARN	n/a	craft_shop	-3.099609375	-58.5	-6.63671875	-49.1875	X
272967	TRIAL_END	n/a	LTP486	NiclsCourierClosedLoop	0	1	0	n/a	n/a	n/a	n/a	n/a	23.484375	1.314453125	X
283984	REC_START	n/a	LTP486	NiclsCourierClosedLoop	0	1	0	n/a	n/a	n/a	n/a	n/a	25.921875	1.44140625	X
285357	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	HAMMER	104	hardware_store	36.6875	59.09375	25.921875	1.44140625	X
287676	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	SUIT	207	clothing_store	32.1875	-60.90625	25.921875	1.44140625	X
288896	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	ASPARAGUS	9	grocery_store	59.3125	-9.203125	25.921875	1.44140625	X
290653	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	SPINACH	201	pizzeria	-9.1015625	17.90625	25.921875	1.44140625	X
292979	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	CHOCOLATE	46	cafe	-14.296875	-12.8984375	25.921875	1.44140625	X
294495	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	PUPPETS	167	toy_store	62.3125	-33.5	25.921875	1.44140625	X
297688	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	TURTLE	226	pet_store	-60.0	-11.5	25.921875	1.44140625	X
298966	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	MEDICINE_BALL	129	gym	14.5	-33.6875	25.921875	1.44140625	X
302014	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	MOUTHWASH	134	dentist	35.09375	26.703125	25.921875	1.44140625	X
303330	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	SPEAKERS	200	music_store	14.6015625	-58.8125	25.921875	1.44140625	X
304635	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	SAPPHIRE	182	jewelry_store	-31.796875	55.6875	25.921875	1.44140625	X
306411	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	HELMET	111	bike_shop	-29.59375	-37.1875	25.921875	1.44140625	X
307579	REC_WORD	wordpools/all_items.txt	LTP486	NiclsCourierClosedLoop	0	1	0	YARN	237	craft_shop	-3.099609375	-58.5	25.921875	1.44140625	X
