mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ	presX	presZ	classifier
0	STORE_MAPPINGS	n/a	LTP498	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	X
32606	TRIAL_START	n/a	LTP498	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	-6.67572021484375e-06	-0.0	X
43750	WORD	wordpools/all_items.txt	LTP498	NiclsCourierClosedLoop	2	1	0	AMETHYST	n/a	jewelry_store	-31.796875	55.6875	-29.734375	48.71875	X
56383	WORD	wordpools/all_items.txt	LTP498	NiclsCourierClosedLoop	2	1	0	ACTION_FIGURES	n/a	toy_store	36.6875	59.09375	35.4375	48.84375	X
70016	POINTER_ON	n/a	LTP498	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	-42.78125	46.84375	X
77217	WORD	wordpools/all_items.txt	LTP498	NiclsCourierClosedLoop	2	1	0	ROPE	n/a	gym	-60.0	-11.5	-48.96875	-10.8046875	X
89517	WORD	wordpools/all_items.txt	LTP498	NiclsCourierClosedLoop	2	1	0	FRUIT	n/a	cafe	14.6015625	-58.8125	9.484375	-49.21875	X
99167	WORD	wordpools/all_items.txt	LTP498	NiclsCourierClosedLoop	2	1	0	OREGANO	n/a	pizzeria	-39.0	-61.90625	-36.53125	-49.1875	X
112799	POINTER_ON	n/a	LTP498	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	-5.96484375	-46.5625	X
121117	WORD	wordpools/all_items.txt	LTP498	NiclsCourierClosedLoop	2	1	0	DRILL	n/a	dentist	26.5	17.0	25.921875	1.7421875	X
134732	POINTER_ON	n/a	LTP498	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	-7.15625	-46.1875	X
137950	WORD	wordpools/all_items.txt	LTP498	NiclsCourierClosedLoop	2	1	0	CAGE	n/a	pet_store	-29.59375	-37.1875	-28.734375	-46.0625	X
151566	POINTER_ON	n/a	LTP498	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	46.8125	-40.21875	X
160116	WORD	wordpools/all_items.txt	LTP498	NiclsCourierClosedLoop	2	1	0	STYROFOAM	n/a	craft_shop	35.09375	26.703125	46.65625	31.578125	X
173749	POINTER_ON	n/a	LTP498	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	-2.525390625	1.1416015625	X
175317	WORD	wordpools/all_items.txt	LTP498	NiclsCourierClosedLoop	2	1	0	ASPARAGUS	n/a	grocery_store	-9.1015625	17.90625	-9.765625	1.287109375	X
