mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ
0	STORE_MAPPINGS	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
45859	TRIAL_START	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
75684	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	SCREWDRIVER	n/a	hardware_store	14.6015625	-58.8125
89302	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
95518	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	JACKET	n/a	clothing_store	35.09375	26.703125
109135	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
119718	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	DRILL	n/a	dentist	-29.59375	-37.1875
133351	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
136285	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	EAR_PLUGS	n/a	pharmacy	26.5	17.0
147951	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	HARMONICA	n/a	music_store	-9.1015625	17.90625
161568	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
164284	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	APRON	n/a	bakery	-3.099609375	-58.5
177917	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
182234	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	LEASH	n/a	pet_store	59.3125	-9.203125
195867	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
218351	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	TRAINING_WHEELS	n/a	bike_shop	32.1875	-60.90625
231984	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
232985	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	SCISSORS	n/a	barber_shop	58.3125	27.90625
246619	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
254518	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	PEARS	n/a	grocery_store	-60.0	-11.5
268151	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
270817	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	WATER_GUN	n/a	toy_store	-31.796875	55.6875
285151	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	EMBROIDERY	n/a	craft_shop	-14.296875	-12.8984375
298785	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
322635	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	STRAWS	n/a	cafe	36.6875	59.09375
336251	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
353818	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	PEARLS	n/a	jewelry_store	62.3125	-33.5
367435	POINTER_ON	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
371684	WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	BASIL	n/a	pizzeria	-39.0	-61.90625
402618	TRIAL_END	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
413619	REC_START	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
415095	REC_WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	BASIL	17	pizzeria	-39.0	-61.90625
415900	REC_WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	SCREWDRIVER	188	hardware_store	14.6015625	-58.8125
417280	REC_WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	DRILL	72	dentist	-29.59375	-37.1875
418502	REC_WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	PEARLS	154	jewelry_store	62.3125	-33.5
421770	REC_WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	APRON	8	bakery	-3.099609375	-58.5
424669	REC_WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	WATER_GUN	232	toy_store	-31.796875	55.6875
432089	REC_WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	BASIL	17	pizzeria	-39.0	-61.90625
433201	EFR_MARK	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
439542	REC_WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	EMBROIDERY	78	craft_shop	-14.296875	-12.8984375
445687	REC_WORD	wordpools/all_items.txt	LTP493	NiclsCourierReadOnly	1	1	0	FLOSS	86	n/a	n/a	n/a
446635	EFR_MARK	n/a	LTP493	NiclsCourierReadOnly	1	1	0	n/a	n/a	n/a	n/a	n/a
