mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ	presX	presZ	classifier
0	STORE_MAPPINGS	n/a	LTP494	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	X
48091	TRIAL_START	n/a	LTP494	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	-6.556510925292969e-06	-0.0	X
51486	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	2	1	0	CURLING_IRON	n/a	barber_shop	-9.1015625	17.90625	-9.6875	1.7822265625	X
65885	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	2	1	0	DUMBELLS	n/a	gym	-29.59375	-37.1875	-28.875	-46.03125	X
79518	POINTER_ON	n/a	LTP494	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	-4.8515625	-49.0625	X
81835	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	2	1	0	CHECKERS	n/a	toy_store	14.6015625	-58.8125	9.6171875	-49.4375	X
93385	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	2	1	0	NAILGUN	n/a	hardware_store	59.3125	-9.203125	49.5625	-9.5703125	X
107017	POINTER_ON	n/a	LTP494	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	-25.921875	13.1796875	X
112352	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	2	1	0	BAGS	n/a	grocery_store	-31.796875	55.6875	-30.265625	48.3125	X
125967	POINTER_ON	n/a	LTP494	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	38.625	46.75	X
136002	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	2	1	0	TRACING_PAPER	n/a	craft_shop	62.3125	-33.5	49.625	-32.78125	X
149634	POINTER_ON	n/a	LTP494	NiclsCourierClosedLoop	2	1	0	n/a	n/a	n/a	n/a	n/a	-0.30322265625	-32.1875	X
152752	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	2	1	0	CREAM	n/a	cafe	-14.296875	-12.8984375	-1.1923828125	-10.8984375	X
