mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ	presX	presZ	classifier
0	STORE_MAPPINGS	n/a	LTP494	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	X
34673	TRIAL_START	n/a	LTP494	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	-6.556510925292969e-06	-0.0	X
42168	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	LOCKS	n/a	bike_shop	26.5	17.0	26.046875	1.7763671875	X
51968	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	HOT_CHOCOLATE	n/a	cafe	-14.296875	-12.8984375	-1.3359375	-8.90625	X
65584	POINTER_ON	n/a	LTP494	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	39.90625	-3.681640625	X
76001	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	SAPPHIRE	n/a	jewelry_store	58.3125	27.90625	50.3125	26.171875	X
89617	POINTER_ON	n/a	LTP494	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	48.625	19.765625	X
104268	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	BOARD_GAME	n/a	toy_store	14.6015625	-58.8125	9.6640625	-48.5	X
117901	POINTER_ON	n/a	LTP494	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	-41.625	-47.59375	X
122818	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	CAGE	n/a	pet_store	-60.0	-11.5	-48.65625	-11.984375	X
135251	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	PROTEIN_SHAKES	n/a	gym	-29.59375	-37.1875	-29.984375	-46.28125	X
142918	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	RECORDER	n/a	music_store	-39.0	-61.90625	-36.65625	-49.03125	X
151268	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	POTS	n/a	florist	-3.099609375	-58.5	-8.3359375	-50.375	X
162101	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	MIRROR	n/a	barber_shop	-9.1015625	17.90625	-9.6953125	1.4697265625	X
175718	POINTER_ON	n/a	LTP494	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	5.0	46.875	X
182968	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	RETAINER	n/a	dentist	35.09375	26.703125	46.46875	33.5	X
192035	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	SWEATSHIRT	n/a	clothing_store	36.6875	59.09375	37.53125	49.4375	X
204801	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	HAMMER	n/a	hardware_store	59.3125	-9.203125	49.03125	-8.484375	X
219401	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	BANDAGES	n/a	pharmacy	14.5	-33.6875	1.6962890625	-32.71875	X
230618	WORD	wordpools/all_items.txt	LTP494	NiclsCourierClosedLoop	3	1	0	CHOCOLATE_CHIPS	n/a	bakery	35.40625	-33.09375	46.40625	-29.96875	X
