mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ	presX	presZ	classifier
0	STORE_MAPPINGS	n/a	LTP481	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	X
29940	TRIAL_START	n/a	LTP481	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	-6.67572021484375e-06	-0.0	X
38602	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	PASTELS	n/a	craft_shop	-3.099609375	-58.5	-6.84375	-48.625	X
52834	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	TAPE_MEASURE	n/a	hardware_store	26.5	17.0	26.0625	1.0	X
66668	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	CAKE	n/a	bakery	14.6015625	-58.8125	11.609375	-49.09375	X
80284	POINTER_ON	n/a	LTP481	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	-47.03125	0.21435546875	X
87251	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	MICE	n/a	pet_store	-31.796875	55.6875	-31.21875	49.03125	X
100867	POINTER_ON	n/a	LTP481	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	-47.09375	-12.7265625	X
106951	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	GRAPES	n/a	grocery_store	-29.59375	-37.1875	-29.84375	-46.0625	X
116917	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	HAIR_CLIP	n/a	jewelry_store	-14.296875	-12.8984375	-1.16015625	-11.0	X
125918	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	EAR_PLUGS	n/a	pharmacy	14.5	-33.6875	1.21875	-32.625	X
139534	POINTER_ON	n/a	LTP481	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	38.875	2.7109375	X
146334	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	ADVIL	n/a	dentist	36.6875	59.09375	37.0	48.78125	X
159967	POINTER_ON	n/a	LTP481	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	49.65625	-24.4375	X
161651	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	PURSE	n/a	clothing_store	62.3125	-33.5	50.0	-32.90625	X
175301	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	SUNFLOWER	n/a	florist	35.09375	26.703125	46.375	31.625	X
185701	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	PEPPERONI	n/a	pizzeria	59.3125	-9.203125	49.34375	-8.421875	X
198251	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	PUNCHING_BAG	n/a	gym	-9.1015625	17.90625	-9.765625	1.7041015625	X
211884	POINTER_ON	n/a	LTP481	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	-28.234375	-48.84375	X
213651	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	SAXOPHONE	n/a	music_store	-39.0	-61.90625	-36.5625	-49.03125	X
227551	WORD	wordpools/all_items.txt	LTP481	NiclsCourierClosedLoop	3	1	0	BOARD_GAME	n/a	toy_store	32.1875	-60.90625	31.125	-49.21875	X
