mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ
0	STORE_MAPPINGS	n/a	LTP462	NiclsCourierReadOnly	0	1	0	n/a	n/a	n/a	n/a	n/a
3002	VIDEO_START	n/a	LTP462	NiclsCourierReadOnly	0	1	0	n/a	-1	n/a	n/a	n/a
129216	VIDEO_STOP	n/a	LTP462	NiclsCourierReadOnly	0	1	0	n/a	-1	n/a	n/a	n/a
154018	TL_START	n/a	LTP462	NiclsCourierReadOnly	0	1	0	n/a	n/a	n/a	n/a	n/a
428182	TL_END	n/a	LTP462	NiclsCourierReadOnly	0	1	0	n/a	n/a	n/a	n/a	n/a
432349	TL_START	n/a	LTP462	NiclsCourierReadOnly	0	1	0	n/a	n/a	n/a	n/a	n/a
444866	POINTER_ON	n/a	LTP462	NiclsCourierReadOnly	0	1	0	n/a	n/a	n/a	n/a	n/a
691733	TL_END	n/a	LTP462	NiclsCourierReadOnly	0	1	0	n/a	n/a	n/a	n/a	n/a
739037	PRACTICE_DELIVERY_START	n/a	LTP462	NiclsCourierReadOnly	0	practice	0	n/a	n/a	n/a	n/a	n/a
751049	POINTER_ON	n/a	LTP462	NiclsCourierReadOnly	0	practice	0	n/a	n/a	n/a	n/a	n/a
756350	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	FISH_BOWL	n/a	pet_store	-9.1015625	17.90625
773249	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	SOIL	n/a	florist	59.3125	-9.203125
783483	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	ADVIL	n/a	dentist	-3.099609375	-58.5
801149	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	COFFEE	n/a	cafe	36.6875	59.09375
814016	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	SCARF	n/a	clothing_store	14.5	-33.6875
843267	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	BOTTLED_WATER	n/a	grocery_store	62.3125	-33.5
856950	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	OREGANO	n/a	pizzeria	26.5	17.0
879849	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	BELL	n/a	bike_shop	-39.0	-61.90625
898966	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	TAPE_MEASURE	n/a	hardware_store	35.09375	26.703125
920666	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	DRUM_SET	n/a	music_store	-14.296875	-12.8984375
930866	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	ALLERGY_MEDICINE	n/a	pharmacy	58.3125	27.90625
954966	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	CHALK	n/a	gym	35.40625	-33.09375
982449	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	COMB	n/a	barber_shop	32.1875	-60.90625
1003066	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	VIDEO_GAMES	n/a	toy_store	-60.0	-11.5
1030350	PRACTICE_WORD	wordpools/all_items.txt	LTP462	NiclsCourierReadOnly	0	practice	0	CONFETTI	n/a	craft_shop	-29.59375	-37.1875
1041316	PRACTICE_DELIVERY_END	n/a	LTP462	NiclsCourierReadOnly	0	practice	0	n/a	n/a	n/a	n/a	n/a
1042316	REC_START	n/a	LTP462	NiclsCourierReadOnly	0	practice	0	n/a	n/a	n/a	n/a	n/a
1067332	REC_STOP	n/a	LTP462	NiclsCourierReadOnly	0	practice	0	n/a	n/a	n/a	n/a	n/a
1075433	CUED_REC_CUE	n/a	LTP462	NiclsCourierReadOnly	0	practice	0	CHALK	n/a	gym	35.40625	-33.09375
1081283	CUED_REC_STOP	n/a	LTP462	NiclsCourierReadOnly	0	practice	0	n/a	n/a	n/a	n/a	n/a
