mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ
0	STORE_MAPPINGS	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
2301	TL_START	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
180066	TL_END	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
192389	TRIAL_START	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
205333	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	YOYO	n/a	toy_store	-29.59375	-37.1875
215916	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	TISSUES	n/a	pharmacy	-31.796875	55.6875
226533	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	GLUE	n/a	craft_shop	14.5	-33.6875
240032	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	WATCH	n/a	jewelry_store	36.6875	59.09375
248800	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	TOOTHBRUSH	n/a	dentist	58.3125	27.90625
256249	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	PLIERS	n/a	hardware_store	-14.296875	-12.8984375
267116	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	DOUGHNUT	n/a	bakery	-9.1015625	17.90625
279583	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	POTS	n/a	florist	62.3125	-33.5
290933	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	BASS	n/a	music_store	-60.0	-11.5
304716	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	JUMP_ROPE	n/a	gym	26.5	17.0
317299	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	TANK_TOP	n/a	clothing_store	-39.0	-61.90625
330932	POINTER_ON	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
334999	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	LIGHT	n/a	bike_shop	35.09375	26.703125
340332	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	ANCHOVIES	n/a	pizzeria	59.3125	-9.203125
347449	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	BLOW_DRYER	n/a	barber_shop	14.6015625	-58.8125
360349	WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	PEARS	n/a	grocery_store	32.1875	-60.90625
376366	TRIAL_END	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
387399	REC_START	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
388789	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	YOYO	238	toy_store	-29.59375	-37.1875
389884	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	WATCH	231	jewelry_store	36.6875	59.09375
390964	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	TISSUES	218	pharmacy	-31.796875	55.6875
392219	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	TOOTHBRUSH	220	dentist	58.3125	27.90625
396376	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	GLUE	93	craft_shop	14.5	-33.6875
400011	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	PLIERS	162	hardware_store	-14.296875	-12.8984375
402146	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	ANCHOVIES	6	pizzeria	59.3125	-9.203125
403052	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	PEARS	155	grocery_store	32.1875	-60.90625
403692	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	DOUGHNUT	71	bakery	-9.1015625	17.90625
408453	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	BASS	18	music_store	-60.0	-11.5
412998	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	TANK_TOP	213	clothing_store	-39.0	-61.90625
414438	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	LIGHT	122	bike_shop	35.09375	26.703125
417313	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	JUMP_ROPE	116	gym	26.5	17.0
430914	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	POTS	163	florist	62.3125	-33.5
455604	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	WATCH	231	jewelry_store	36.6875	59.09375
465158	REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	TISSUES	218	pharmacy	-31.796875	55.6875
477433	REC_STOP	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
485784	CUED_REC_CUE	n/a	LTP448	NiclsCourierReadOnly	3	1	0	TISSUES	n/a	pharmacy	-31.796875	55.6875
491799	CUED_REC_WORD_VV	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	<>	-1	n/a	n/a	n/a
491799	CUED_REC_STOP	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
493883	CUED_REC_CUE	n/a	LTP448	NiclsCourierReadOnly	3	1	0	PLIERS	n/a	hardware_store	-14.296875	-12.8984375
495623	CUED_REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	LIGHT	122	n/a	n/a	n/a
499178	CUED_REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	PLIERS	162	n/a	n/a	n/a
499882	CUED_REC_STOP	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
501650	CUED_REC_CUE	n/a	LTP448	NiclsCourierReadOnly	3	1	0	DOUGHNUT	n/a	bakery	-9.1015625	17.90625
503785	CUED_REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	DOUGHNUT	71	n/a	n/a	n/a
504933	CUED_REC_STOP	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
506950	CUED_REC_CUE	n/a	LTP448	NiclsCourierReadOnly	3	1	0	BLOW_DRYER	n/a	barber_shop	14.6015625	-58.8125
512510	CUED_REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	BLOW_DRYER	22	n/a	n/a	n/a
512949	CUED_REC_STOP	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
514917	CUED_REC_CUE	n/a	LTP448	NiclsCourierReadOnly	3	1	0	ANCHOVIES	n/a	pizzeria	59.3125	-9.203125
516112	CUED_REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	ANCHOVIES	6	n/a	n/a	n/a
517232	CUED_REC_STOP	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
519401	CUED_REC_CUE	n/a	LTP448	NiclsCourierReadOnly	3	1	0	TANK_TOP	n/a	clothing_store	-39.0	-61.90625
520676	CUED_REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	TANK_TOP	213	n/a	n/a	n/a
521865	CUED_REC_STOP	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
523700	CUED_REC_CUE	n/a	LTP448	NiclsCourierReadOnly	3	1	0	WATCH	n/a	jewelry_store	36.6875	59.09375
524860	CUED_REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	WATCH	231	n/a	n/a	n/a
525766	CUED_REC_STOP	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
527617	CUED_REC_CUE	n/a	LTP448	NiclsCourierReadOnly	3	1	0	GLUE	n/a	craft_shop	14.5	-33.6875
528602	CUED_REC_WORD	wordpools/all_items.txt	LTP448	NiclsCourierReadOnly	3	1	0	GLUE	93	n/a	n/a	n/a
531532	CUED_REC_STOP	n/a	LTP448	NiclsCourierReadOnly	3	1	0	n/a	n/a	n/a	n/a	n/a
