mstime	trial_type	stim_file	subject	experiment	session	phase	trial	item	itemno	store	storeX	storeZ	presX	presZ	classifier
0	STORE_MAPPINGS	n/a	LTP488	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	X
18772	TRIAL_START	n/a	LTP488	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	-6.556510925292969e-06	-0.0	X
39751	WORD	wordpools/all_items.txt	LTP488	NiclsCourierClosedLoop	3	1	0	ROPE	n/a	gym	35.09375	26.703125	46.46875	31.609375	X
53383	POINTER_ON	n/a	LTP488	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	46.46875	31.609375	X
75500	WORD	wordpools/all_items.txt	LTP488	NiclsCourierClosedLoop	3	1	0	BRACELET	n/a	jewelry_store	-3.099609375	-58.5	-6.5078125	-49.5	X
89133	POINTER_ON	n/a	LTP488	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	-47.90625	17.5	X
94451	WORD	wordpools/all_items.txt	LTP488	NiclsCourierClosedLoop	3	1	0	BASS	n/a	music_store	-31.796875	55.6875	-31.421875	49.40625	X
108934	WORD	wordpools/all_items.txt	LTP488	NiclsCourierClosedLoop	3	1	0	COTTON_BALLS	n/a	dentist	-60.0	-11.5	-48.5	-10.921875	X
122567	POINTER_ON	n/a	LTP488	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	-2.103515625	-38.78125	X
129851	WORD	wordpools/all_items.txt	LTP488	NiclsCourierClosedLoop	3	1	0	CAGE	n/a	pet_store	26.5	17.0	25.90625	1.7646484375	X
143500	POINTER_ON	n/a	LTP488	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	12.2578125	-49.6875	X
148668	WORD	wordpools/all_items.txt	LTP488	NiclsCourierClosedLoop	3	1	0	TANK_TOP	n/a	clothing_store	-29.59375	-37.1875	-28.84375	-46.34375	X
162300	POINTER_ON	n/a	LTP488	NiclsCourierClosedLoop	3	1	0	n/a	n/a	n/a	n/a	n/a	-28.84375	-46.34375	X
171567	WORD	wordpools/all_items.txt	LTP488	NiclsCourierClosedLoop	3	1	0	LOTION	n/a	pharmacy	14.6015625	-58.8125	9.4609375	-48.875	X
183201	WORD	wordpools/all_items.txt	LTP488	NiclsCourierClosedLoop	3	1	0	CAKE	n/a	bakery	59.3125	-9.203125	50.25	-9.53125	X
194017	WORD	wordpools/all_items.txt	LTP488	NiclsCourierClosedLoop	3	1	0	SCREWDRIVER	n/a	hardware_store	-14.296875	-12.8984375	-0.8017578125	-9.21875	X
